repo,has_package_json,has_lockfile,has_node_modules,build_script,dev_script,framework,has_tsconfig,has_tailwind,env_example,src_dirs,file_count
Tracera/default/balanced-match@1.0.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/brace-expansion@1.1.12@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/braces@3.0.3@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/callsites@3.1.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/chalk@4.1.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/color-convert@2.0.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/color-name@1.1.4@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/concat-map@0.0.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/cross-spawn@7.0.6@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/csstype@3.2.3@@@1,yes,,no,tsx --inspect build.ts --start,,,no,no,no,,0
Tracera/default/debug@3.2.7@@@1,yes,,no,,,,no,no,no,src,0
Tracera/default/debug@4.4.3@@@1,yes,,no,,,,no,no,no,src,0
Tracera/default/deep-is@0.1.4@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/escape-string-regexp@4.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/eslint-import-resolver-node@0.3.9@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/eslint-module-utils@2.12.0@@@1,yes,,no,,,,yes,no,no,,0
Tracera/default/eslint-plugin-boundaries@5.0.1@@@1,yes,,no,,,,no,no,no,src,0
Tracera/default/eslint-plugin-check-file@2.1.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/eslint-plugin-filenames@1.3.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/eslint-scope@8.4.0@@@1,yes,,no,rollup -c,,,no,no,no,,0
Tracera/default/eslint-scope@9.1.0@@@1,yes,,no,rollup -c,,,no,no,no,,0
Tracera/default/eslint-visitor-keys@3.4.3@@@1,yes,,no,npm run build:cjs && npm run build:types,,,no,no,no,,0
Tracera/default/eslint-visitor-keys@4.2.1@@@1,yes,,no,npm run build:cjs && npm run build:types,,,no,no,no,,0
Tracera/default/eslint-visitor-keys@5.0.0@@@1,yes,,no,npm run build:cjs && npm run build:types,,,no,no,no,,0
Tracera/default/eslint@10.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/eslint@9.39.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/espree@10.4.0@@@1,yes,,no,rollup -c rollup.config.js,,,no,no,no,,0
Tracera/default/espree@11.1.0@@@1,yes,,no,"rollup -c rollup.config.js && npm run build:types && node -e ""fs.rmSync('dist/lib', { recursive: true })""",,,no,no,no,,0
Tracera/default/esquery@1.7.0@@@1,yes,,no,npm run build:parser && npm run build:browser,,,no,no,no,,0
Tracera/default/esrecurse@4.3.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/estraverse@5.3.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/esutils@2.0.3@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/fast-deep-equal@3.1.3@@@1,yes,,no,node build,,,no,no,no,,0
Tracera/default/fast-json-stable-stringify@2.1.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/fast-levenshtein@2.0.6@@@1,yes,,no,grunt build,,,no,no,no,,0
Tracera/default/file-entry-cache@8.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/fill-range@7.1.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/find-up@5.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/flat-cache@4.0.1@@@1,yes,,no,,,,no,no,no,src,0
Tracera/default/flatted@3.3.3@@@1,yes,,no,npm run cjs && npm run rollup:esm && npm run rollup:es && npm run rollup:babel && npm run min && npm run test && npm run size,,,no,no,no,,0
Tracera/default/function-bind@1.1.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/glob-parent@6.0.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/globals@14.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/has-flag@4.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/hasown@2.0.2@@@1,yes,,no,,,,yes,no,no,,0
Tracera/default/ignore@5.3.2@@@1,yes,,no,babel -o legacy.js index.js,,,no,no,no,,0
Tracera/default/import-fresh@3.3.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/imurmurhash@0.1.4@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/is-core-module@2.16.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/is-extglob@2.1.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/is-glob@4.0.3@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/is-number@7.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/isexe@2.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/js-yaml@4.1.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/json-buffer@3.0.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/json-schema-traverse@0.4.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/json-stable-stringify-without-jsonify@1.0.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/keyv@4.5.4@@@1,yes,,no,echo 'No build step required.',,,no,no,no,src,0
Tracera/default/levn@0.4.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/locate-path@6.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/lodash.camelcase@4.3.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/lodash.kebabcase@4.1.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/lodash.merge@4.6.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/lodash.snakecase@4.1.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/lodash.upperfirst@4.3.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/micromatch@4.0.8@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/minimatch@10.1.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/minimatch@3.1.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/ms@2.1.3@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/natural-compare@1.4.0@@@1,yes,,no,node node_modules/buildman/index.js --all,,,no,no,no,,0
Tracera/default/numpy@0.0.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/optionator@0.9.4@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/oxlint-tsgolint@0.11.4@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/p-limit@3.1.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/p-locate@5.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/parent-module@1.0.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/path-exists@4.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/path-key@3.1.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/path-parse@1.0.7@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/picomatch@2.3.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/prelude-ls@1.2.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/punycode@2.3.1@@@1,yes,,no,node scripts/prepublish.js,,,no,no,no,,0
Tracera/default/react-dom@19.2.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/react@19.2.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/requireindex@1.2.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/resolve-from@4.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/resolve@1.22.11@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/scheduler@0.27.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/shebang-command@2.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/shebang-regex@3.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/strip-json-comments@3.1.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/supports-color@7.2.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/supports-preserve-symlinks-flag@1.0.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/to-regex-range@5.0.1@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/type-check@0.4.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/uri-js@4.4.1@@@1,yes,,no,npm run build:esnext && npm run build:es5 && npm run build:es5:min,,,no,no,no,,0
Tracera/default/which@2.0.2@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/word-wrap@1.2.5@@@1,yes,,no,,,,no,no,no,,0
Tracera/default/yocto-queue@0.1.0@@@1,yes,,no,,,,no,no,no,,0
Tracera/docs,yes,,no,,,vite,no,no,no,,0
ValidationKit/typescript/guardis,yes,,yes,tsc,,vite,yes,no,no,src,0
agent-devops-setups/docs,yes,,no,,,vite,no,no,no,,0
agent-devops-setups,yes,package-lock.json;bun.lock,yes,,,vite,no,no,yes,,0
agentapi-plusplus/chat/.next,yes,,no,,,,no,no,no,,0
agileplus-landing-wtrees/journey-impl,yes,bun.lock,no,astro build,astro dev,astro,yes,no,no,src,0
agileplus-landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,no,src,0
byteport-landing-wtrees/journey-impl,yes,bun.lock,no,astro build,astro dev,astro,yes,no,no,src,0
byteport-landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,no,src,0
cliproxyapi-plusplus-wtrees/build-fix-2,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus-wtrees/build-fix-3,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus-wtrees/build-fix,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus-wtrees/pathsafe,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus-wtrees/trufflehog,yes,package-lock.json,no,,,,no,no,yes,,0
cliproxyapi-plusplus-wtrees/urlguard,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus/.worktrees/codeql-url-command-hardening,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus/.worktrees/pr942-import-surface-fix,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus/.worktrees/sladge-badge,yes,,no,,,,no,no,yes,,0
cliproxyapi-plusplus/journey-fix,yes,package-lock.json,no,,,,no,no,yes,,0
cliproxyapi-plusplus,yes,package-lock.json,yes,,,,no,no,yes,,0
forgecode,yes,package-lock.json,no,,,,no,no,no,,0
helios-cli-wtrees/codex-rs-unblock/codex-cli,yes,,no,,,,no,no,no,,0
helios-cli-wtrees/codex-rs-unblock,yes,pnpm-lock.yaml;bun.lock,no,,,,no,no,yes,,0
helios-cli-wtrees/codex-rs-unblock/shell-tool-mcp,yes,,no,tsup,,,no,no,no,src,0
helios-cli-wtrees/sladge-badge/codex-cli,yes,,no,,,,no,no,no,,0
helios-cli-wtrees/sladge-badge,yes,pnpm-lock.yaml;bun.lock,no,,,,no,no,yes,src,0
helios-cli-wtrees/sladge-badge/shell-tool-mcp,yes,,no,tsup,,,no,no,no,src,0
helios-cli-wtrees/workspace-deps-fix/codex-cli,yes,,no,,,,no,no,no,,0
helios-cli-wtrees/workspace-deps-fix,yes,pnpm-lock.yaml;bun.lock,no,,,,no,no,yes,,0
helios-cli-wtrees/workspace-deps-fix/shell-tool-mcp,yes,,no,tsup,,,no,no,no,src,0
helios-cli/codex-cli,yes,,no,,,,no,no,no,,0
helios-cli,yes,pnpm-lock.yaml;bun.lock,no,,,,no,no,yes,src,0
helios-cli/sdk/typescript,yes,,no,tsup,,,yes,no,no,src,0
helios-cli/shell-tool-mcp,yes,,no,tsup,,,no,no,no,src,0
helios-router/docs/portage,yes,,no,,,vite,no,no,no,,0
heliosApp-wtrees/journey-impl/docs,yes,,no,,,vite,no,no,no,,0
heliosApp-wtrees/release-cut-adopt/docs,yes,,no,,,vite,no,no,no,,0
heliosApp-wtrees/sladge-badge/docs,yes,,no,,,vite,no,no,no,,0
heliosApp-wtrees/trufflehog/docs,yes,,no,,,vite,no,no,no,,0
heliosApp-wtrees/wip-heliosapp-observability-completion/docs,yes,,no,,,vite,no,no,no,,0
heliosApp/apps/runtime,yes,bun.lock,yes,bun build src/index.ts --outdir dist --target bun --minify --sourcemap=external,bun run --watch src/index.ts,,yes,no,no,src,0
heliosApp/docs,yes,,no,,,vite,no,no,no,,0
heliosApp/packages/errors,yes,,no,,,,no,no,no,src,0
heliosApp/packages/ids,yes,bun.lock,no,,,,yes,no,no,src,0
heliosApp/packages/logger,yes,,no,,,,no,no,no,src,0
heliosApp/packages/runtime-core,yes,,yes,,,,no,no,no,src,0
heliosApp/packages/types,yes,,no,,,,no,no,no,src,0
heliosBench-wtrees/journey-impl,yes,,no,,,vite,no,no,no,src,0
heliosBench,yes,,yes,,,vite,no,no,no,src,0
helioscope-wtrees/pr-274-chore-pin-github-actions-shas/codex-cli,yes,,no,,,,no,no,no,,0
helioscope-wtrees/pr-274-chore-pin-github-actions-shas,yes,pnpm-lock.yaml,no,,,,no,no,yes,src,0
helioscope-wtrees/pr-274-chore-pin-github-actions-shas/shell-tool-mcp,yes,,no,tsup,,,yes,no,no,src,0
helioscope-wtrees/pr-275-fix-pin-github-actions-sha/codex-cli,yes,,no,,,,no,no,no,,0
helioscope-wtrees/pr-275-fix-pin-github-actions-sha,yes,pnpm-lock.yaml,no,,,,no,no,yes,src,0
helioscope-wtrees/pr-275-fix-pin-github-actions-sha/shell-tool-mcp,yes,,no,tsup,,,yes,no,no,src,0
helioscope/codex-cli,yes,,no,,,,no,no,no,,0
helioscope/docs/portage,yes,,no,,,vite,no,no,no,,0
helioscope,yes,pnpm-lock.yaml,yes,,,,no,no,yes,src,0
helioscope/sdk/typescript,yes,,yes,tsup,,,yes,no,no,src,0
helioscope/shell-tool-mcp,yes,,yes,tsup,,,yes,no,no,src,0
hwledger-landing-wtrees/fix-landing-ui,yes,bun.lock,no,astro build,astro dev,astro,yes,no,no,src,0
hwledger-landing-wtrees/journey-impl,yes,bun.lock,no,astro build,astro dev,astro,yes,no,yes,src,0
hwledger-landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,yes,src,0
localbase3-wtrees/sladge-badge/localbase-api,yes,package-lock.json,no,,nodemon server.js,,no,no,yes,src,0
localbase3-wtrees/sladge-badge/localbase-docs,yes,,no,docusaurus build,,,no,no,no,src,0
localbase3-wtrees/wip-localbase3-provider-tests/localbase-api,yes,package-lock.json,no,,nodemon server.js,,no,no,yes,src,0
localbase3-wtrees/wip-localbase3-provider-tests/localbase-docs,yes,,no,docusaurus build,,,no,no,no,src,0
localbase3/localbase-api,yes,package-lock.json,no,,nodemon server.js,,no,no,yes,src,0
localbase3/localbase-docs,yes,,no,docusaurus build,,,no,no,no,src,0
localbase3/localbase-frontend/.next,yes,,no,,,,no,no,no,,0
nanovms-wtrees/journey-impl,yes,,no,,,vue-vite,no,no,no,,0
nanovms,yes,,no,,,vue-vite,no,no,no,,0
nanovms/tests/playwright,yes,,no,tsc,,,no,no,no,src,0
pheno-wtrees/container-base-bump/koosha-portfolio,yes,bun.lock,no,astro build,astro dev,astro,yes,no,no,src,0
pheno-wtrees/container-base-bump/phenotype-infrakit,yes,,no,,,vite,no,no,yes,,0
pheno-wtrees/cve-cross-bump/phenotype-infrakit,yes,,no,,,vite,no,no,yes,,0
pheno-wtrees/deprecate-phase1-copies/phenotype-infrakit,yes,,no,,,vite,no,no,yes,,0
pheno-wtrees/journey-impl/koosha-portfolio,yes,bun.lock,no,astro build,astro dev,astro,yes,no,no,src,0
pheno-wtrees/journey-impl/phenotype-infrakit,yes,,no,,,vite,no,no,yes,,0
pheno/koosha-portfolio,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,no,src,0
pheno/packages/pheno-core,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
pheno/packages/pheno-llm,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
pheno/packages/pheno-resilience,yes,,no,tsup src/index.ts --format esm --dts,tsup src/index.ts --format esm --dts --watch,vite,yes,no,no,src,0
pheno/phenotype-infrakit,yes,,no,,,vite,no,no,yes,,0
phenoData-wtrees/journey-impl,yes,bun.lock,no,,,vite,no,no,no,,0
phenoData,yes,bun.lock,yes,,,vite,no,no,no,,0
phenoDesign-wtrees/journey-impl/docs,yes,bun.lock,no,,,vite,no,no,no,components,0
phenoDesign-wtrees/journey-impl,yes,package-lock.json;bun.lock,no,tsc && cp -r css dist/css,vitepress dev docs,vue-vite,yes,no,yes,src,0
phenoDesign-wtrees/license-year/docs,yes,bun.lock,no,,,vite,no,no,no,components,0
phenoDesign-wtrees/license-year,yes,package-lock.json;bun.lock,no,tsc && cp -r css dist/css,vitepress dev docs,vue-vite,yes,no,yes,src,0
phenoDesign-wtrees/wip-phenoDesign-archive-undo/docs,yes,bun.lock,no,,,vite,no,no,no,components,0
phenoDesign-wtrees/wip-phenoDesign-archive-undo,yes,package-lock.json;bun.lock,no,tsc && cp -r css dist/css,vitepress dev docs,vue-vite,yes,no,yes,src,0
phenoDesign/docs,yes,bun.lock,no,,,vite,no,no,no,components,0
phenoDesign,yes,package-lock.json;bun.lock,no,tsc && cp -r css dist/css,vitepress dev docs,vue-vite,yes,no,yes,src,0
phenoResearchEngine-wtrees/journey-impl,yes,,no,tsc,,,yes,no,no,src,0
phenoResearchEngine,yes,package-lock.json,no,tsc,,,yes,no,no,src,0
phenoShared/docs,yes,,no,vitepress build,vitepress dev,vite,no,no,no,,0
phenoShared,yes,bun.lock,no,,,vite,no,no,no,,0
phenoShared/packages/errors,yes,,no,,,,yes,no,no,src,0
phenoShared/packages/ids,yes,,no,,,,yes,no,no,src,0
phenoShared/packages/types,yes,,no,,,,no,no,no,src,0
phenoXdd-wtrees/deny-fix/docs,yes,,no,,,vite,no,no,no,,0
phenoXdd-wtrees/journey-impl/docs,yes,,no,,,vite,no,no,no,,0
phenokits-landing-wtrees/journey-impl,yes,bun.lock,no,astro build,astro dev,astro,yes,no,yes,src,0
phenokits-landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,yes,src,0
phenotype-auth-ts-wtrees/journey-impl,yes,package-lock.json;bun.lock,no,tsc -p tsconfig.json,,vue-vite,yes,no,no,src,0
phenotype-auth-ts,yes,package-lock.json;bun.lock,no,tsc -p tsconfig.json,,vue-vite,yes,no,no,src,0
phenotype-journeys/npm/journey-playwright,yes,bun.lock,no,,,,no,no,no,src,0
phenotype-journeys/npm/playwright-record,yes,bun.lock,no,,,vite,yes,no,no,src,0
phenotype-org-audits,yes,bun.lock,yes,,,vite,no,no,no,,0
phenotype-registry-wtrees/journey-impl,yes,bun.lock,no,,,vite,no,no,no,,0
phenotype-registry,yes,bun.lock,yes,,,vite,no,no,no,,0
phenotype-tooling-wtrees/journey-impl,yes,bun.lock,no,,,vite,no,no,no,,0
phenotype-tooling-wtrees/sladge-badge,yes,bun.lock,no,,,vite,no,no,no,,0
phenotype-tooling,yes,bun.lock,yes,,,vite,no,no,no,,0
portage-wtrees/eval-suite/docs,yes,,no,,,vite,no,no,no,,0
portage-wtrees/journey-impl/docs,yes,,no,,,vite,no,no,no,,0
portage/docs,yes,,no,,,vite,no,no,no,,0
projects-landing-wtrees/astro-build-fix-20260430,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,no,src,0
projects-landing-wtrees/journey-impl,yes,bun.lock,no,astro build,astro dev,astro,yes,no,no,src,0
projects-landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,no,src,0
repos-wtrees/dep-nkeys/docs,yes,,no,vitepress build,vitepress dev,vite,no,no,no,,0
repos-wtrees/dep-nkeys,yes,bun.lock,no,,,vite,no,no,no,src,0
thegent-landing-wtrees/pr-28-chore-pin-github-actions,yes,bun.lock,no,astro build,astro dev,astro,yes,no,yes,src,0
thegent-landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,yes,src,0
thegent/apps/landing,yes,bun.lock,yes,astro build,astro dev,astro,yes,no,yes,src,0
thegent/docs/diagrams,yes,,no,,,,no,no,no,,0
thegent/docs/site,yes,,no,vitepress build,vitepress dev,vite,no,no,no,,0
thegent/extensions/vscode,yes,,no,,,,yes,no,no,src,0
worktrees/seedloom,yes,bun.lock,no,tsc --build,tsc --build --watch,vite,yes,no,no,src,0
