repo,has_package_json,has_lockfile,has_node_modules,build_script,dev_script,framework,has_tsconfig,has_tailwind,env_example,src_dirs,file_count
heliosApp-wtrees/trufflehog,yes,bun.lock,no,bun run --cwd apps/desktop build && bun run --cwd apps/runtime build,bun run --cwd apps/desktop dev,vite,yes,no,no,,4
heliosApp-wtrees/wip-heliosapp-observability-completion,yes,bun.lock,no,,,vite,yes,no,no,,4
heliosApp,yes,bun.lock,yes,bun run --cwd apps/desktop build && bun run --cwd apps/runtime build,bun run --cwd apps/desktop dev,vite,yes,no,no,,4
pheno/docs,yes,package-lock.json;bun.lock,yes,,,vite,no,no,no,,4
AgilePlus-wtr/fix-hooks-canonical/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/agile-main/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/cargo-deny-full-rollout-2026-04-27/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/container-base-bump/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/cve-cross-bump/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/cve-sweep-residual/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/dep-high/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/dep-pyjwt-lodash/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/dup-route-fix/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/journey-impl/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/portage-eval-suite/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/quality-gate/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
AgilePlus-wtrees/spec-014-observability-stack-completion/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
HexaKit-wtrees/commit-lockfile/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
HexaKit-wtrees/cve-sweep/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
HexaKit-wtrees/lockfile-regen-2026-04-27/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
HexaKit/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
PhenoDevOps/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
Planify/apps/live,yes,,no,tsc --noEmit && tsdown,"tsdown --watch --onSuccess ""node --env-file=.env .""",vite,yes,no,yes,src,3
Planify/packages/hooks,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,3
docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
pheno-wtrees/container-base-bump/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
pheno-wtrees/cve-cross-bump/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
pheno-wtrees/deprecate-phase1-copies/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
pheno-wtrees/journey-impl/docs,yes,package-lock.json;bun.lock,no,,,vite,no,no,no,,3
Tracera-wtrees/lockfile-regen-2026-04-27,yes,bun.lock,no,cd frontend && bunx turbo build --no-daemon --filter=!@tracertm/storybook,make dev,,no,no,yes,src,2
Tracera,yes,bun.lock,no,cd frontend && bunx turbo build --no-daemon --filter=!@tracertm/storybook,make dev,,no,no,yes,src,2
helioscope-wtrees/pr-274-chore-pin-github-actions-shas/docs,yes,,no,,,vite,no,no,no,,2
helioscope-wtrees/pr-275-fix-pin-github-actions-sha/docs,yes,,no,,,vite,no,no,no,,2
helioscope/docs,yes,,no,,,vite,no,no,no,,2
hwLedger-wtrees/bbox-ground-d6/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/canonical-import-health/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/commit-lockfile/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/cve-sweep-rsa/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/docs-build-timeouts/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && bun run check:media && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/gui-recorder-rehydrate/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/lockfile-retry/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/reusable-ci/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/source-manifests/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
hwLedger-wtrees/viewer-013/docs-site,yes,bun.lock,no,bun run check:verified && bun run sync && vitepress build .,bun run sync && vitepress dev .,vue-vite,no,no,no,,2
thegent,yes,bun.lock,yes,,,vue-vite,yes,no,yes,src,2
.worktrees/Tokn-docs/docs,yes,,no,,,vite,no,no,no,,1
.worktrees/Tokn-docs,yes,,no,,,vite,no,no,yes,src,1
.worktrees/agentapi-plusplus-docs/docs,yes,package-lock.json,no,vitepress build .,vitepress dev .,vue-vite,no,no,no,,1
.worktrees/cliproxyapi-plusplus-docs/docs,yes,,no,,,vite,no,no,no,,1
.worktrees/thegent-docs/docs,yes,,no,,,vite,no,no,no,,1
.worktrees/thegent-docs,yes,,no,,,vite,no,no,no,,1
.worktrees/thegent-pr908-policy-fix/docs,yes,,no,,,vite,no,no,no,,1
.worktrees/thegent-pr908-policy-fix,yes,,no,,,vue-vite,yes,no,no,src,1
Configra-wtrees/journey-impl/docs,yes,,no,,,vue-vite,no,no,no,,1
Configra/docs,yes,,no,,,vue-vite,no,no,no,,1
HeliosLab-wtrees/wip-helioslab-license-badge/docs,yes,package-lock.json,no,,,vite,no,no,no,,1
HeliosLab-wtrees/wip-helioslab-license-badge,yes,bun.lock,no,,bun setup && electrobun dev,,no,no,yes,src,1
HeliosLab/.worktrees/pages-deadlinks-fix,yes,bun.lock,no,,bun setup && electrobun dev,,no,no,yes,src,1
HeliosLab/docs,yes,package-lock.json,yes,,,vite,no,no,no,,1
HeliosLab,yes,bun.lock,no,,bun setup && electrobun dev,,no,no,yes,src,1
Parpoura-wtrees/journey-impl/docs,yes,bun.lock,no,,,vite,no,no,no,,1
Parpoura-wtrees/journey-impl,yes,package-lock.json,no,,,vite,no,no,yes,,1
Parpoura-wtrees/pr-207-pin-actions-sha/docs,yes,bun.lock,no,,,vite,no,no,no,,1
Parpoura-wtrees/pr-207-pin-actions-sha,yes,package-lock.json,no,,,vite,no,no,yes,,1
